Firstname,Lastname,Pos,Team,Level,Pro Years
Bob,Havens,1B,AUCK,AAA,0
Matt,Williams,C,IDA,A,0
Howard,Hensley,C,Free Agent,A,0
Antoine,Haug,C,LOUI,AA,0
Sydney,Lueckenhoff,RF,WISC,AAA,0
Jesse,Ryder,1B,AUCK,ML,6
Royce,Patrick,RF,SCRN,AAA,1
Matt,Porter,1B,SCRN,A,0
Wendell,Linsey,RF,MAHO,ML,0
John,Pfeifer,2B,IDA,A,0
Glenn,Clisham,3B,MAIN,A,0
Eddie,Hessel,C,CHES,ML,5
Carl,Evans,SS,OMA,A,0
Kyle,Matthew,2B,Free Agent,A,0
George,Pennant,SS,NORW,ML,1
Alphonso,Taylor,3B,Free Agent,A,0
Ali,Haefner,LF,Free Agent,A,0
Brendan,Rusk,RF,CHES,AAA,0
Cookie,Reynolds,CF,OMA,A,0
Alejandro,Anderson,RF,Free Agent,A,0
Willie,Thompson Jr,RF,Free Agent,A,0
Curtis,Gallegos,P,RICH,AAA,0
Teddy,Frack,CF,HILL,AAA,0
Spooky,Mulder,SS,Free Agent,A,13
Scut,Farkus,P,CASP,ML,3
Lawrence,Clark,CF,ELP,AA,0
Sean,Bock,P,Free Agent,A,0
Dave,McQuiston,P,MAHO,AAA,0
Simeon,French,P,Free Agent,A,0
Mario,Maddy,P,ELP,AAA,0
Christoper,Jin,P,AUCK,AAA,3
Rube,Webb,P,Free Agent,A,0
Cotton,Coplon,P,LOUI,AA,0
Don,Oakley,P,Free Agent,A,3
Jordan,Klinner,P,OMA,A,0
Lowell,Steptoe,P,HILL,AA,0
Anthony,Monton,P,OMA,AAA,1
Brad,Kalka,P,FRIS,ML,3
Paul,Farrell,P,MAHO,AAA,1
Jacob,Sabedra,P,PORT,A,0
Trayvon,Wainright,P,FRIS,AAA,0
Jesse,Schoolman,P,CASP,ML,1
Eugene,Taylor,P,Free Agent,A,3
Francisco,Bailey,P,TEX,A,10
Calvin,Pelcher,P,Free Agent,A,0
H.R.,Pufnstuf,RF,FRIS,ML,11
John,Knight,P,HILL,A,0
Leroy,Porter,P,HILL,A,0
Adam,Uppen,P,Free Agent,A,0
Roger,Perez,P,Free Agent,A,0
Ken,Sparlin,P,ELP,AA,0
Addie,Sa,P,ROME,A,0
Jim,Bartel,P,OMA,A,0
Paul,McCollester,P,BANG,A,0
Ralph,Villines,P,SUGR,A,0
Anthony,Kosa,P,MAIN,A,0
Patrick,White,P,Free Agent,A,0
John,Jabs,P,RICH,AA,0
Douglas,Brown,P,OMA,A,0
Norman,Tobin,P,OMA,AA,0
Trevor,Treger,P,WISC,A,0
Gilbert,Marshall,P,IDA,ML,3
Kazuto,Kirigaya,P,AUCK,ML,11
Truman,Kernan,P,ELP,AA,0
Eli,Drake,SS,ROCK,ML,1
Jon,Levy,3B,DAY,A,0
Alvin,Vanpatten,RF,SCRN,A,0
Andrew,Salton,P,Free Agent,A,0
Dave,Royal,1B,CASP,A,0
Jamie,Lapointe,C,Free Agent,A,0
Walt,Lopez,3B,HILL,ML,0
Anthony,Botts,RF,PEOR,AAA,0
Fritz,Morton,C,CHES,AAA,0
Kevin,Diaz,C,RICH,AA,0
Matthew,Horn,C,Free Agent,A,0
Clifton,Ryder,2B,Free Agent,A,0
John,Calarco,2B,SCRN,A,0
Mark,Hubbard,C,Free Agent,A,0
Jason,Kristianson,SS,ROCK,AA,0
Dan,Outlaw,CF,SCRN,A,5
Devin,Lang,P,PEOR,AAA,0
Ron,Biggs,C,Free Agent,A,0
Brent,Chavez,RF,PEOR,AA,0
John,Stoff,SS,SCRN,AAA,1
Raymond,Dollar,3B,Free Agent,A,0
Michael,Garron,CF,MAHO,ML,1
Brian,Victorino,2B,NORW,AAA,0
Michael,Lazar,2B,LAKE,A,0
Muad,Dib,P,WISC,ML,9
Fred,Briggs,2B,LAKE,AAA,0
Eric,Wooten,SS,FRIS,AAA,0
Patrick,Davis,3B,CASP,AAA,0
Collin,Schiess,1B,PORT,AAA,0
Marv,Komer,3B,AUCK,AA,0
Keven,Williams,C,Free Agent,A,0
Matt,Thurlow,3B,LOUI,AAA,0
Charlie,Slattery,C,RICH,A,0
Lucius,Luther,3B,BANG,AAA,0
Leland,Khan,P,Free Agent,A,3
Anthony,Vidalez,1B,Free Agent,A,0
Joe,Northam,2B,MAIN,A,0
Dave,Glass,2B,Free Agent,A,0
Floyd,Pfisterer,3B,DAY,A,0
Killian,Bailey,2B,LYNC,AAA,0
Gary,Garibay,SS,NORW,A,0
Eric,Lynch,SS,LAKE,AA,0
Marlin,Studzinski,LF,Free Agent,A,0
Justin,Lipka,CF,MIDL,AA,0
Clarence,Williams,2B,WISC,AA,0
Sadie,Sossamon,SS,EDMO,AAA,0
Bill,Worsell,1B,ELP,A,5
Felipe,Jones,CF,LYNC,A,0
Jerry,Louissaint,C,SF,ML,3
Roger,Weir,C,BANG,AA,0
Joe,Padilla,1B,SCRN,ML,2
Travis,Iwanski,1B,MAHO,ML,5
Jonathan,Jones,P,PORT,AAA,1
Gerardo,Dery,RF,HILL,AAA,0
Chad,Darensbourg,2B,EDMO,ML,5
Willie,Milloway,P,Free Agent,A,0
Brad,Childress,RF,NORW,A,0
Brenton,Pendry,1B,WISC,ML,15
Frye,Cook,RF,OMA,ML,0
Johnathon,Hart,P,Free Agent,A,0
Heston,Kjerstad,RF,CASP,ML,8
Jonathan,Bowell,LF,SCRN,AA,0
Kieth,Hopkins,P,WISC,A,0
Walt,Levell,P,OMA,AA,0
Ferdie,Crump,P,IDA,AA,0
Merlin,Dizon,P,Free Agent,A,0
Encyclopedia,Brown,SS,Free Agent,A,6
Paul,Ricker,P,AUCK,AA,0
Ken,Munsen,P,CASP,ML,3
Otis,Milliron,P,LAKE,ML,0
Jack,Chew,P,PEOR,A,0
Dan,Carr,SS,Free Agent,A,0
Nicolas,Morris,P,MAIN,AAA,0
Shawn,Yates,SS,LAKE,A,10
Billy,Dimiceli,P,SUGR,A,0
Jesse,Klonoski,LF,ELP,AAA,0
Morris,Buttermaker,P,CASP,ML,3
Mac,Morgan,P,PORT,A,10
Randy,Takeuchi,P,Free Agent,AA,0
Bret,Bailey,P,SUGR,A,0
King,Moore,1B,ROME,AAA,0
Harold,O'Hara,P,CHES,AAA,0
Murray,Miller,P,IDA,A,0
Don,McCarty,P,Free Agent,A,0
Cody,Arens,P,Free Agent,A,0
Rich,George,P,Free Agent,A,0
Jason,Hermanstorfer,P,WISC,ML,14
Micheal,Diaz,SS,ALTO,AA,0
Dan,Deville,P,MIDL,A,0
Mike,Lemoine,P,Free Agent,A,0
John,Valeri,P,TEX,AAA,0
Marcus,Figueredo,P,MAHO,ML,1
Delmar,Schwering,P,WISC,AAA,0
Marco,Dawson,P,OMA,AA,0
Dave,Kuthe,RF,FRIS,ML,0
Dale,Sebek,P,SF,ML,8
Bob,Todd,P,MAHO,AA,0
Emmanuel,Schaufelberge,RF,Free Agent,A,0
Mike,Howman,P,MIDL,AA,0
Ronald,James,P,SUGR,A,0
Brian,Stein,CF,PEOR,AA,0
Armando,Caccavale,P,ALTO,ML,3
Ken,Rice,SS,Free Agent,A,0
Dave,Sidelinger,P,LAKE,AA,0
Ed,Reed,P,IDA,AA,0
Gary,Schnautz,P,IDA,AAA,0
Jim,Lipton,SS,NORW,AA,0
Anthony,Riso,2B,FRIS,AAA,0
Joe,Nicholson,LF,Free Agent,A,0
George,Spates,P,RICH,A,0
Joel,Lasch,CF,NORW,ML,7
Jason,Frank,P,FRIS,A,0
Mike,Jhones,P,OMA,A,0
Leo,Courson,P,ROME,A,9
Chad,Bowen,LF,SCRN,AA,0
Irv,Tat,P,IDA,ML,9
Arthur,Jackson,P,CASP,ML,3
Ron,Milteer,P,Free Agent,A,0
Don,Miller,2B,Free Agent,A,0
Larry,Welschmeyer,P,LYNC,A,11
Gene,Kapp,3B,Free Agent,A,0
Whitney,Plante,3B,Free Agent,A,0
Tuck,Madden,3B,LAKE,AA,0
Johnny,Hockey,C,OKC,ML,6
Arthur,Durrani,CF,Free Agent,A,0
Ron,Singer,2B,ALTO,AAA,0
Ali,Ensing,P,HILL,A,0
George,Ellison,SS,MAHO,A,0
Isaiah,Aiken,1B,OMA,AA,0
Micheal,Holtzlander,P,AUCK,AA,0
Joshua,Browne,P,TEX,AA,0
Carlos,Jeter,P,PEOR,AA,0
Andrew,Newell,RF,OMA,AA,0
Joe,Deponte,P,Free Agent,A,0
Tom,Hustead,P,Free Agent,A,0
Samson,Brown,P,Free Agent,A,0
Charles,Crawford,C,IDA,AAA,0
Erick,Borkoski,3B,Free Agent,A,0
Jeffrey,Tapia,P,SUGR,AAA,0
George,Halat,3B,MIDL,A,5
Walter,Picha,P,PEOR,AA,0
Timothy,McClafferty,3B,WISC,ML,1
Lance,Cassaro,P,WISC,AA,0
Willard,Tibbs,SS,ELP,ML,2
Bryant,Aly,LF,SF,ML,1
Fredrick,Brashear,P,ELP,AA,0
Curtis,Chatman,P,ALTO,AA,0
Curly,Taylor,P,Free Agent,A,0
Lew,Cronic,P,TEX,A,4
Shawn,Harris,P,Free Agent,A,0
Keaton,Abendroth,P,ROME,A,0
Isosceles,Kramer,P,PEOR,AAA,0
Potsie,Weber,3B,MAIN,ML,1
Jadon,Frutos,P,Free Agent,A,0
Steve,Bush,P,OMA,AA,0
Merle,Amsden,SS,Free Agent,A,0
Owen,Hart,2B,ROCK,ML,4
Marshall,Law,C,Free Agent,A,0
Martin,Atari,P,OKC,ML,7
Bill,Wdowiak,LF,Free Agent,A,0
Garry,Wertz,3B,NORW,AA,0
Overton,Brakeman,P,SUGR,AAA,0
Braulio,Young,3B,OMA,AAA,0
Chad,Zuidema,LF,Free Agent,A,0
Jeffery,Chatman,3B,MAIN,AA,0
Anthony,London,C,CASP,A,0
Mario,Wells,LF,Free Agent,A,0
Jason,Parson,C,LOUI,A,0
David,Henery,C,Free Agent,A,0
Archie,Martin,C,Free Agent,A,0
Casey,Johnsrud,P,FRIS,AAA,0
Ron,Tansil,P,SUGR,AAA,0
Darren,Hazelip,1B,PEOR,AA,0
Frank,Rhymes,2B,Free Agent,A,0
Damon,Silcox,LF,PORT,A,0
James,Westcott,3B,Free Agent,A,0
Wyatt,Taylor,2B,CHES,AA,0
Darryl,Glover Jr,2B,PEOR,A,0
John,Throne,SS,Free Agent,A,0
Warren,Bult,SS,PORT,AAA,0
Samuel,Ruelas,LF,TEX,ML,8
Leslie,Citrino,LF,Free Agent,A,0
Shane,Grondahl,CF,Free Agent,A,0
Alejandro,Kibodeaux,P,Free Agent,A,4
Hack,Baldivia,RF,Free Agent,A,0
Don,Reither,SS,LAKE,AA,0
Joseph,Guy,P,Free Agent,A,0
Teodoro,Dalleva,P,PEOR,ML,2
Francis,Niederhaus,1B,CASP,AA,0
Harold,James,P,EDMO,AA,0
Virgil,Goh,RF,CHES,AAA,0
Louis,Greene,C,CHES,ML,1
Bob,Roberson,2B,PORT,A,0
Paul,Fernandez,LF,LOUI,ML,1
Tico,Torres,P,NORW,AA,0
Vincent,Garrett,P,TEX,A,6
Tom,Evans,C,Free Agent,A,0
Harold,Neifer,1B,SCRN,AAA,0
Mario,Tabisula,P,Free Agent,A,0
Vincent,Potts,1B,ELP,AAA,0
Roger,Ownby,P,Free Agent,A,0
Herman,Kiffer,P,HILL,AA,0
Mathew,Barton,CF,ELP,ML,5
Barry,Irby,CF,Free Agent,A,0
Bradley,Jankauskas,P,RICH,A,5
Jimmy,Roybal Jr,P,Free Agent,A,0
Delbert,Deacon,LF,SUGR,ML,3
Mike,Carroll,P,BANG,ML,4
Omar,Little,P,LOUI,ML,12
Ron,Lewis,1B,NORW,A,0
Jon,Jackson,2B,PORT,A,0
Keith,Modlin,P,MAHO,AA,0
Harry,Chan,1B,CHES,ML,2
Mario,Ashby,P,CASP,AAA,0
Steve,Gentry,2B,SCRN,AA,0
Brian,Lower,P,Free Agent,A,0
George,McIntyre,3B,FRIS,ML,3
Boyd,Chester,CF,MAHO,ML,3
Kermit,Bynum,CF,PORT,AAA,0
Damien,Key,P,OMA,AA,0
Arthur,Spoon,P,Free Agent,A,0
Gary,Briggs,P,Free Agent,A,0
Lloyd,Johns,P,Free Agent,A,0
Lonnie,Milnor,3B,Free Agent,A,0
Jaime,Selzer,2B,Free Agent,A,0
Richard,Bryant,3B,LOUI,A,0
Michael,Dupree,CF,Free Agent,A,0
Ken,Holey,P,AUCK,ML,8
Aoi,Todo,SS,ELP,AAA,0
Red,Foreman,3B,MAIN,A,16
Robert,Holder,SS,CHES,A,0
Tracy,McCay,SS,NORW,AA,0
Kevin,McDougal,C,Free Agent,A,0
Jorge,Craig,RF,SCRN,AA,0
Derrell,Sitzes,LF,LOUI,AA,0
Don,Bhatti,P,EDMO,AAA,0
Jose,Wright,LF,NORW,A,0
Brandon,Fox,CF,Free Agent,A,0
Oscar,Pacheco,LF,CASP,AA,0
Maximilian,Murray,C,ELP,ML,2
Moises,Haist,3B,LAKE,AA,0
Steve,Dressen,RF,LAKE,A,0
Loren,Christion,1B,Free Agent,A,0
Scott,Pryor,P,ALTO,ML,5
Bill,Sublett,P,CHES,A,0
Don,Stinnette,CF,MAHO,AA,0
Billy,Clubb,CF,Free Agent,A,0
Gene,Walker,2B,SCRN,AAA,0
George,Morgan,P,AUCK,A,0
Val,Dimon,P,CHES,A,0
Jayson,Fasy,P,CHES,AAA,0
Quincy,Shearn,P,PEOR,AA,0
Paul,Heuman,LF,TEX,A,13
Walter,Pena,P,MAHO,ML,4
John,Bordwell,P,AUCK,A,5
Sam,Sautter,P,ALTO,A,0
Rich,Peoples,P,Free Agent,A,0
Ferric,Turner,P,TEX,A,6
Blackout,Gatling,P,CHES,ML,9
Leo,Boisse,P,SUGR,ML,4
Eric,Newsome,P,FRIS,A,0
Harris,Mendez,P,CHES,AA,0
Richard,Williamson,P,Free Agent,A,0
Jon,Boddy,P,Free Agent,A,0
Samuel,Garrick,P,WISC,A,0
Don,Tatham,P,Free Agent,A,0
Luther,Briggs,P,Free Agent,A,0
Guyton,Willis,RF,SCRN,AA,0
Bob,Bazemore,LF,HILL,ML,14
Will,Halas,RF,ELP,AAA,0
Jose,Bluth,P,AUCK,AA,0
Tim,Irvine,P,ROCK,AAA,0
Reuben,Crisp,SS,ELP,ML,2
Samuel,Teasdale,P,MIDL,A,0
Lawrence,Magana,P,LYNC,AA,0
Louis,Tinstman,P,Free Agent,A,0
Jim,Lima,C,Free Agent,A,0
Johnny,Jaconski,3B,Free Agent,A,0
Dan,Green,3B,Free Agent,A,0
Tim,Neel,1B,Free Agent,A,0
Cy,Moran,P,OMA,A,0
Paul,Barrington,LF,Free Agent,A,0
Kristopher,Duckworth,P,AUCK,A,0
Leroy,Bowman,P,TEX,AAA,0
Anthony,Wilkerson,3B,Free Agent,A,0
Gilbert,Ashley,C,ROCK,ML,5
Louis,Gardley,C,Free Agent,A,0
Rich,Pareja,P,PEOR,A,0
Christian,Homesley,P,WISC,AAA,0
